site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Ashley2,August,8/7/18,10:41,11:10,0:29,4,3,1,11:00,0,0,0,0,0,Summer,0,0,0,0
Confluence,August,8/7/18,13:01,13:14,0:13,7,4,3,13:00,0,0,0,0,1,Summer,0,0,0,0
Mouth,August,8/7/18,8:10,9:00,0:50,0,0,0,9:00,0,0,0,0,1,Summer,0,0,0,0
Terminal,August,8/7/18,11:54,12:10,0:16,2,1,1,12:00,0,0,0,0,1,Summer,0,0,0,0
Aquarium,August,8/21/18,14:06,14:16,0:10,4,4,0,14:20,11,1,0,12,1,Summer,0,0,0,0
Aquarium,August,8/21/18,13:57,14:01,0:04,1,1,0,14:00,25,0,0,25,1,Summer,0,0,0,0
Ashley1,August,8/21/18,9:43,9:59,0:16,3,3,0,10:00,0,0,0,0,1,Summer,0,0,0,0
Ashley2,August,8/21/18,11:15,11:25,0:10,6,4,2,11:20,1,4,0,5,1,Summer,0,0,0,0
Confluence,August,8/21/18,13:02,13:09,0:07,1,1,0,13:00,0,0,0,0,1,Summer,0,0,2,0
Confluence,August,8/21/18,13:20,13:40,0:20,5,3,2,13:40,0,0,0,0,1,Summer,0,0,0,2
Mouth,August,8/21/18,8:21,8:29,0:08,1,1,0,8:20,0,0,0,0,1,Summer,0,0,1,0
Mouth,August,8/21/18,8:33,8:44,0:11,2,1,1,8:40,0,0,0,0,1,Summer,0,0,0,0
Mouth,August,8/21/18,8:58,9:15,0:17,2,2,0,9:00,0,0,0,0,1,Summer,0,0,0,0
Terminal,August,8/21/18,12:21,12:36,0:15,3,2,1,12:20,3,0,0,3,1,Summer,0,0,0,0
Terminal,August,8/21/18,12:50,12:52,0:02,1,1,0,13:00,0,0,0,0,0,Summer,0,0,1,0
Aquarium,September,9/19/18,12:51,13:02,0:11,5,5,0,13:00,0,0,0,0,1,Summer,0,0,0,0
Aquarium,September,9/19/18,13:18,13:24,0:06,3,3,0,13:20,0,0,0,0,1,Summer,0,0,0,0
Ashley1,September,9/19/18,9:31,9:38,0:07,1,1,0,9:20,17,0,0,17,1,Summer,0,0,0,0
Ashley1,September,9/19/18,9:40,9:52,0:12,3,2,1,9:40,7,0,6,13,1,Summer,0,0,0,0
Ashley1,September,9/19/18,9:55,10:08,0:13,2,2,0,10:00,2,0,0,2,1,Summer,0,0,0,0
Ashley1,September,9/19/18,10:18,10:28,0:10,4,3,1,10:20,20,0,0,20,1,Summer,0,0,0,0
Ashley2,September,9/19/18,8:49,8:57,0:08,2,2,0,9:00,3,0,0,3,0,Summer,0,0,0,0
Confluence,September,9/19/18,11:43,11:51,0:08,3,3,0,11:40,2,0,0,2,1,Summer,0,0,1,3
Mouth,September,9/19/18,13:37,14:27,0:50,0,0,0,14:00,0,0,0,0,0,Summer,0,0,0,2
Terminal,September,9/19/18,11:04,11:34,0:30,17,13,4,11:00,6,0,0,6,0,Summer,0,0,0,0
Terminal,September,9/19/18,10:46,10:51,0:05,2,1,1,10:40,16,2,0,18,1,Summer,0,0,0,0
Aquarium,January,1/11/18,12:38,12:40,0:02,3,2,1,12:40,7,60,9,76,1,Winter,0,0,0,0
Aquarium,January,1/11/18,12:51,12:59,0:08,4,3,1,13:00,0,0,2,2,1,Winter,0,0,0,0
Ashley1,January,1/11/18,9:33,9:43,0:10,4,2,2,9:40,0,0,0,0,1,Winter,0,0,0,0
Ashley1,January,1/11/18,10:06,10:15,0:09,6,5,1,10:00,4,0,0,4,1,Winter,0,0,0,0
Ashley2,January,1/11/18,8:51,9:19,0:28,3,2,1,9:00,7,0,0,7,0,Winter,0,0,0,0
Confluence,January,1/11/18,11:45,11:48,0:03,3,2,1,11:40,0,0,5,5,1,Winter,0,0,0,0
Confluence,January,1/11/18,12:10,12:19,0:09,6,4,2,12:20,3,0,5,8,1,Winter,0,0,0,0
Confluence,January,1/11/18,12:26,12:33,0:07,4,4,0,12:00,0,0,7,7,1,Winter,0,0,0,0
Mouth,January,1/11/18,13:38,14:28,0:50,0,0,0,14:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,January,1/11/18,11:06,11:23,0:17,11,8,3,11:20,0,0,0,0,1,Winter,0,0,0,0
Terminal,January,1/11/18,11:31,11:37,0:06,1,1,0,11:40,19,7,0,26,1,Winter,0,0,0,0
Aquarium,January,1/25/18,10:38,10:58,0:20,4,3,1,10:40,1,2,11,14,1,Winter,0,0,0,2
Aquarium,January,1/25/18,11:12,11:22,0:10,1,1,0,11:20,98,34,46,178,1,Winter,0,0,0,0
Ashley1,January,1/25/18,10:06,10:20,0:14,1,1,0,10:20,0,0,0,0,1,Winter,0,0,0,0
Ashley2,January,1/25/18,8:39,8:49,0:10,2,2,0,8:40,0,0,0,0,0,Winter,0,0,0,0
Ashley2,January,1/25/18,9:05,9:10,0:05,2,2,0,9:00,0,0,0,0,0,Winter,0,0,0,0
Ashley2,January,1/25/18,9:17,9:23,0:06,5,5,0,9:20,28,0,16,44,0,Winter,0,0,0,0
Confluence,January,1/25/18,11:36,11:44,0:08,1,1,0,11:40,0,0,17,17,1,Winter,0,0,0,0
Confluence,January,1/25/18,12:02,12:17,0:15,7,7,0,12:00,0,0,16,16,1,Winter,0,0,0,0
Mouth,January,1/25/18,14:07,14:12,0:05,3,2,1,14:00,0,0,0,0,1,Winter,0,0,0,0
Mouth,January,1/25/18,14:16,14:21,0:05,2,2,0,14:20,6,3,0,9,1,Winter,0,0,0,0
Terminal,January,1/25/18,12:39,12:43,0:04,1,1,0,12:40,3,1,2,6,1,Winter,0,0,0,0
Terminal,January,1/25/18,12:47,12:52,0:05,3,3,0,12:40,3,0,2,5,1,Winter,0,0,0,0
Terminal,January,1/25/18,13:01,13:16,0:15,7,6,1,13:00,0,0,2,2,1,Winter,0,0,0,0
Terminal,January,1/25/18,13:24,13:30,0:06,3,3,0,13:20,0,0,0,0,1,Winter,0,0,0,0
Aquarium,February,2/6/18,9:23,9:37,0:14,8,6,2,9:20,6,0,0,6,1,Winter,0,0,0,0
Aquarium,February,2/6/18,9:40,10:01,0:21,6,5,1,9:40,5,1,12,18,1,Winter,0,0,0,0
Aquarium,February,2/6/18,10:06,10:14,0:08,1,1,0,10:00,0,0,30,30,1,Winter,0,0,0,0
Ashley1,February,2/6/18,14:40,14:45,0:05,1,1,0,14:40,1,0,0,1,1,Winter,0,0,0,0
Ashley1,February,2/6/18,14:52,14:58,0:06,3,2,1,15:00,0,0,0,0,1,Winter,0,0,0,0
Ashley1,February,2/6/18,15:07,15:11,0:04,2,2,0,15:20,0,0,0,0,0,Winter,0,0,0,0
Ashley1,February,2/6/18,15:15,15:22,0:07,3,2,1,15:20,0,0,0,0,0,Winter,0,0,0,0
Ashley2,February,2/6/18,13:22,13:27,0:05,2,2,0,13:20,0,0,0,0,1,Winter,0,0,0,0
Confluence,February,2/6/18,11:39,11:47,0:08,2,1,1,11:40,0,0,0,0,1,Winter,0,0,0,0
Confluence,February,2/6/18,12:04,12:08,0:04,2,2,0,12:00,0,0,0,0,1,Winter,0,0,0,0
Confluence,February,2/6/18,12:12,12:21,0:09,2,2,0,12:20,1,0,0,1,1,Winter,0,0,0,0
Mouth,February,2/6/18,8:16,8:21,0:05,1,1,0,8:20,2,0,2,4,1,Winter,0,0,0,0
Mouth,February,2/6/18,8:26,8:37,0:11,2,1,1,8:40,2,3,1,6,1,Winter,0,0,0,0
Mouth,February,2/6/18,8:44,8:58,0:14,3,3,0,9:00,0,0,0,0,1,Winter,0,0,0,0
Mouth,February,2/6/18,9:01,9:07,0:06,3,3,0,9:20,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/6/18,10:55,11:07,0:12,4,3,1,11:00,9,2,10,21,1,Winter,0,0,0,0
Terminal,February,2/6/18,10:29,10:32,0:03,1,1,0,10:40,2,3,0,5,1,Winter,0,0,0,0
Terminal,February,2/6/18,10:39,10:51,0:12,11,10,1,10:40,1,2,0,3,1,Winter,0,0,0,0
Terminal,February,2/6/18,11:16,11:26,0:10,3,2,1,11:20,0,0,0,0,1,Winter,0,0,0,0
Aquarium,February,2/15/18,9:14,9:23,0:09,4,4,0,9:00,0,0,0,0,1,Winter,0,0,0,0
Aquarium,February,2/15/18,9:28,9:31,0:03,2,1,1,9:20,0,0,0,0,1,Winter,0,0,0,0
Aquarium,February,2/15/18,9:35,9:51,0:16,5,4,1,9:40,3,2,2,7,1,Winter,0,0,0,0
Aquarium,February,2/15/18,9:56,10:03,0:07,2,2,0,10:00,0,0,0,0,1,Winter,0,0,0,0
Ashley1,February,2/15/18,12:29,12:33,0:04,2,1,1,12:20,0,0,0,0,0,Winter,0,0,0,0
Ashley1,February,2/15/18,12:40,12:49,0:09,2,2,0,12:40,0,0,0,0,1,Winter,0,0,0,0
Ashley1,February,2/15/18,12:58,13:02,0:04,2,2,0,13:00,0,0,0,0,1,Winter,0,0,0,0
Ashley2,February,2/15/18,13:18,13:29,0:11,2,2,0,13:20,2,0,0,2,1,Winter,0,0,0,0
Confluence,February,2/15/18,10:17,10:21,0:04,2,2,0,10:20,0,0,0,0,1,Winter,0,0,0,0
Confluence,February,2/15/18,10:30,10:49,0:19,5,3,2,10:40,0,0,0,0,1,Winter,0,0,0,0
Confluence,February,2/15/18,10:55,11:02,0:07,3,3,0,11:00,4,1,4,9,1,Winter,0,0,0,0
Mouth,February,2/15/18,8:12,8:18,0:06,1,1,0,8:20,0,0,1,1,1,Winter,0,0,0,0
Mouth,February,2/15/18,8:22,8:38,0:16,5,5,0,8:40,0,0,0,0,1,Winter,0,0,0,0
Mouth,February,2/15/18,8:42,8:47,0:05,2,2,0,9:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/15/18,11:53,12:02,0:09,1,1,0,12:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/15/18,11:14,11:20,0:06,1,1,0,11:20,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/15/18,11:33,11:47,0:14,6,3,3,11:40,0,0,0,0,1,Winter,0,0,0,0
Aquarium,March,3/6/18,9:15,9:26,0:11,4,4,0,9:20,2,0,6,8,1,Winter,0,0,0,0
Aquarium,March,3/6/18,9:30,10:04,0:34,16,13,3,10:00,0,0,3,3,1,Winter,0,0,0,0
Ashley1,March,3/6/18,13:44,13:58,0:14,2,2,0,14:00,0,0,0,0,0,Winter,0,2,0,0
Ashley1,March,3/6/18,14:07,14:26,0:19,5,4,1,14:20,0,0,0,0,0,Winter,0,0,0,0
Ashley2,March,3/6/18,12:52,12:55,0:03,1,1,0,13:00,0,0,0,0,0,Winter,0,0,0,0
Confluence,March,3/6/18,10:32,10:35,0:03,2,1,1,10:40,0,0,4,4,1,Winter,0,0,0,0
Confluence,March,3/6/18,10:40,10:48,0:08,2,2,0,10:40,0,0,4,4,1,Winter,0,0,0,0
Confluence,March,3/6/18,10:53,10:59,0:06,5,4,1,11:00,3,0,0,3,1,Winter,0,0,0,0
Mouth,March,3/6/18,8:10,8:14,0:04,1,1,0,8:20,6,0,2,8,0,Winter,0,3,0,0
Mouth,March,3/6/18,8:20,8:47,0:27,10,9,1,8:40,0,0,0,0,1,Winter,0,2,0,0
Terminal,March,3/6/18,11:17,11:21,0:04,2,2,0,11:20,0,0,5,5,1,Winter,0,0,0,0
Terminal,March,3/6/18,11:22,11:32,0:10,3,3,0,11:20,0,0,3,3,1,Winter,0,0,0,0
Terminal,March,3/6/18,11:37,11:42,0:05,2,1,1,11:40,1,0,0,1,1,Winter,0,0,0,0
Terminal,March,3/6/18,11:53,12:01,0:08,5,4,1,12:00,37,0,0,37,1,Winter,0,0,0,0
Aquarium,January,1/8/19,11:58,12:03,0:05,1,1,0,12:00,7,0,0,7,1,Winter,0,0,0,0
Aquarium,January,1/8/19,12:08,12:21,0:13,4,4,0,12:20,0,0,0,0,1,Winter,0,0,0,0
Aquarium,January,1/8/19,12:28,12:42,0:14,4,3,1,12:40,8,6,4,18,1,Winter,0,0,0,0
Ashley1,January,1/8/19,9:53,10:22,0:29,3,2,1,10:00,0,0,0,0,0,Winter,0,0,0,0
Ashley2,January,1/8/19,10:49,11:39,0:50,0,0,0,11:00,2,0,0,2,0,Winter,0,0,0,0
Confluence,January,1/8/19,13:16,13:24,0:08,3,3,0,13:20,15,0,0,15,1,Winter,0,0,0,0
Confluence,January,1/8/19,13:46,13:51,0:05,1,1,0,13:40,1,17,13,31,1,Winter,0,0,0,0
Mouth,January,1/8/19,8:14,8:25,0:11,1,1,0,8:20,0,0,0,0,1,Winter,0,0,0,0
Mouth,January,1/8/19,8:32,9:06,0:34,6,5,1,9:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,January,1/8/19,14:26,,,4,4,0,14:20,0,0,0,0,0,Winter,0,0,0,0
Aquarium,January,1/25/19,10:54,10:57,0:03,1,1,0,11:00,0,0,0,0,1,Winter,0,0,0,0
Ashley1,January,1/25/19,8:29,,,4,4,0,8:20,5,0,0,5,1,Winter,0,0,0,0
Ashley2,January,1/25/19,9:17,9:56,0:39,4,3,1,9:20,0,0,0,0,0,Winter,0,0,0,0
Confluence,January,1/25/19,12:27,12:39,0:12,2,2,0,12:40,0,0,0,0,1,Winter,0,2,0,0
Confluence,January,1/25/19,11:39,11:59,0:20,4,3,1,12:00,0,0,0,0,1,Winter,0,0,0,0
Mouth,January,1/25/19,13:54,14:18,0:24,4,4,0,14:00,0,0,0,0,0,Winter,0,0,0,0
Terminal,January,1/25/19,13:19,13:33,0:14,9,8,1,13:20,0,0,14,14,0,Winter,0,0,0,0
Aquarium,February,2/5/19,11:45,11:51,0:06,2,1,1,11:40,25,2,1,28,1,Winter,0,0,0,0
Aquarium,February,2/5/19,11:55,12:11,0:16,3,3,0,12:00,24,0,1,25,1,Winter,0,0,0,0
Aquarium,February,2/5/19,12:24,12:31,0:07,2,2,0,12:20,9,0,0,9,1,Winter,0,0,0,0
Ashley1,February,2/5/19,12:45,12:51,0:06,2,1,1,12:40,0,0,0,0,0,Winter,0,0,0,0
Ashley1,February,2/5/19,13:01,13:04,0:03,2,1,1,13:00,0,0,0,0,1,Winter,0,0,0,0
Ashley1,February,2/5/19,13:29,13:39,0:10,2,1,1,13:40,4,0,1,5,1,Winter,0,0,0,0
Ashley2,February,2/5/19,14:04,14:14,0:10,3,3,0,14:00,0,0,0,0,1,Winter,0,0,0,0
Ashley2,February,2/5/19,14:26,14:39,0:13,1,1,0,14:40,0,0,0,0,0,Winter,0,0,0,0
Confluence,February,2/5/19,10:59,,,3,2,1,11:00,0,0,26,26,1,Winter,0,0,0,0
Confluence,February,2/5/19,11:19,11:27,0:08,3,2,1,11:20,7,1,3,11,1,Winter,0,0,0,0
Confluence,February,2/5/19,11:37,11:40,0:03,1,1,0,11:40,1,0,0,1,1,Winter,0,0,0,0
Mouth,February,2/5/19,8:21,8:50,0:29,3,3,0,8:40,0,0,0,0,1,Winter,0,0,0,0
Mouth,February,2/5/19,8:57,9:16,0:19,2,2,0,9:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/5/19,9:55,10:07,0:12,2,2,0,10:20,4,1,2,7,1,Winter,0,2,0,0
Terminal,February,2/5/19,9:38,9:42,0:04,2,1,1,9:40,0,0,1,1,1,Winter,0,0,0,0
Terminal,February,2/5/19,9:47,9:53,0:06,3,2,1,10:00,0,0,0,0,1,Winter,0,0,0,0
Terminal,February,2/5/19,10:09,10:40,0:31,5,3,2,10:40,0,0,2,2,1,Winter,0,0,0,0
Aquarium,March,3/5/19,11:01,11:25,0:24,5,3,2,11:00,0,0,0,0,1,Winter,0,0,0,0
Aquarium,March,3/5/19,11:38,11:56,0:18,6,5,1,11:40,0,0,0,0,1,Winter,0,0,0,0
Ashley1,March,3/5/19,8:47,9:00,0:13,2,1,1,9:00,0,0,0,0,1,Winter,0,0,0,0
Ashley1,March,3/5/19,9:25,9:28,0:03,1,1,0,9:20,0,0,0,0,1,Winter,0,0,0,0
Ashley2,March,3/5/19,9:40,10:03,0:23,2,2,0,10:00,1,0,1,2,0,Winter,0,0,0,0
Confluence,March,3/5/19,12:15,12:24,0:09,2,1,1,12:20,0,0,0,0,1,Winter,0,0,0,0
Confluence,March,3/5/19,12:35,12:49,0:14,2,1,1,12:40,0,0,0,0,1,Winter,0,0,0,0
Mouth,March,3/5/19,14:40,14:55,0:15,1,1,0,15:00,0,0,0,0,0,Winter,0,0,0,0
Mouth,March,3/5/19,14:30,14:35,0:05,1,1,0,14:40,3,0,0,3,1,Winter,0,0,0,0
Terminal,March,3/5/19,13:09,13:17,0:08,1,1,0,13:20,0,0,0,0,1,Winter,0,0,0,0
Terminal,March,3/5/19,13:19,13:40,0:21,4,3,1,13:20,0,0,0,0,0,Winter,0,0,0,0
Terminal,March,3/5/19,13:43,13:47,0:04,1,1,0,13:40,0,0,0,0,0,Winter,0,0,0,0
