site,month,date,time_start,time_end,time,dolphins_best,adults_best,calves_best,every20mins,echo,bp,whistle,total,noise,season,perch,toadfish,strout,rdrum
Ashley2,October,10/31/18,13:48,14:38,0:50,0,0,0,14:00,0,0,0,0,1,Fall,0,0,0,0
Confluence,October,10/31/18,9:34,9:36,0:02,2,1,1,9:20,14,2,0,16,1,Fall,0,0,0,0
Confluence,October,10/31/18,9:48,9:52,0:04,2,1,1,9:40,19,0,0,19,1,Fall,0,0,0,0
Confluence,October,10/31/18,10:02,10:06,0:04,3,2,1,10:00,6,0,0,6,1,Fall,0,0,0,0
Confluence,October,10/31/18,10:10,10:17,0:07,8,7,1,10:20,0,0,0,0,1,Fall,0,0,0,0
Mouth,October,10/31/18,11:55,12:12,0:17,4,3,1,12:00,0,0,0,0,1,Fall,0,0,0,0
Mouth,October,10/31/18,12:13,12:28,0:15,6,6,0,12:20,6,0,0,6,1,Fall,0,0,0,0
Terminal,October,10/31/18,10:30,10:35,0:05,3,3,0,10:40,7,0,2,9,1,Fall,0,0,0,0
Terminal,October,10/31/18,10:32,10:55,0:23,12,9,3,11:00,1,0,0,1,1,Fall,0,0,0,0
Aquarium,November,11/28/18,14:11,14:22,0:11,5,3,2,14:20,37,6,0,43,1,Fall,0,0,0,0
Aquarium,November,11/28/18,14:31,14:42,0:11,3,2,1,14:40,29,9,4,42,1,Fall,0,0,0,0
Aquarium,November,11/28/18,14:47,14:50,0:03,1,1,0,15:00,22,0,0,22,1,Fall,0,0,0,0
Ashley1,November,11/28/18,9:51,10:05,0:14,2,2,0,10:00,0,0,0,0,1,Fall,0,0,0,0
Ashley1,November,11/28/18,10:14,10:18,0:04,1,1,0,10:20,0,0,0,0,0,Fall,0,0,0,0
Ashley2,November,11/28/18,11:10,11:25,0:15,2,2,0,11:20,3,0,0,3,0,Fall,0,0,0,0
Confluence,November,11/28/18,13:10,13:17,0:07,4,3,1,13:20,16,0,0,16,1,Fall,0,0,0,0
Confluence,November,11/28/18,13:35,13:43,0:08,1,1,0,13:40,27,0,0,27,1,Fall,0,0,0,0
Mouth,November,11/28/18,8:31,8:47,0:16,10,10,0,8:40,1,0,3,4,1,Fall,0,0,0,0
Terminal,November,11/28/18,12:11,12:29,0:18,8,6,2,12:20,0,0,1,1,0,Fall,0,0,0,0
Terminal,November,11/28/18,12:37,13:00,0:23,3,2,1,13:00,15,0,0,15,0,Fall,0,0,0,0
Aquarium,December,12/7/18,9:17,,,7,5,2,9:20,5,0,0,5,1,Fall,0,0,0,0
Aquarium,December,12/7/18,9:49,9:55,0:06,2,1,1,10:00,0,0,0,0,1,Fall,0,0,0,0
Aquarium,December,12/7/18,10:06,10:24,0:18,2,1,1,10:20,34,6,0,40,1,Fall,0,0,0,0
Ashley1,December,12/7/18,14:11,14:15,0:04,1,1,0,14:20,0,0,0,0,1,Fall,0,0,0,0
Ashley1,December,12/7/18,14:40,14:43,0:03,1,1,0,14:40,3,0,0,3,1,Fall,0,0,0,0
Ashley1,December,12/7/18,14:50,,,7,5,2,15:00,0,0,0,0,1,Fall,0,0,0,0
Ashley2,December,12/7/18,13:11,14:01,0:50,0,0,0,14:00,0,0,0,0,1,Fall,0,0,0,0
Confluence,December,12/7/18,10:49,10:56,0:07,1,1,0,11:00,0,0,0,0,1,Fall,0,0,0,0
Confluence,December,12/7/18,11:10,11:14,0:04,1,1,0,11:20,0,0,0,0,1,Fall,0,0,0,0
Confluence,December,12/7/18,11:26,11:39,0:13,2,2,0,11:40,3,0,0,3,1,Fall,0,0,0,0
Mouth,December,12/7/18,8:28,8:36,0:08,1,1,0,8:40,3,0,0,3,1,Fall,0,2,0,0
Mouth,December,12/7/18,8:47,9:02,0:15,5,4,1,9:00,0,0,0,0,1,Fall,0,0,0,0
Terminal,December,12/7/18,11:53,12:01,0:08,1,1,0,12:00,0,0,0,0,1,Fall,0,0,0,0
Terminal,December,12/7/18,12:34,12:43,0:09,1,1,0,12:40,2,0,0,2,0,Fall,0,0,2,0
Terminal,December,12/7/18,12:19,12:25,0:06,2,1,1,12:20,0,0,0,0,1,Fall,0,0,0,0
Aquarium,December,12/12/18,10:37,10:49,0:12,2,2,0,10:40,0,0,0,0,1,Fall,0,0,0,0
Aquarium,December,12/12/18,11:12,,,2,1,1,11:20,0,0,0,0,1,Fall,0,0,0,0
Ashley1,December,12/12/18,15:02,15:20,0:18,8,6,2,15:20,0,0,0,0,1,Fall,0,0,0,0
Ashley2,December,12/12/18,14:24,14:33,0:09,1,1,0,14:20,0,0,0,0,1,Fall,0,0,0,0
